Date,Open,High,Low,Close,Volume,Adj Close
4/1/16,113.75,116.169998,106.519997,109.639999,37180900,109.639999
3/1/16,107.830002,116.989998,104.400002,114.099998,24571300,114.099998
2/1/16,112.269997,117.589996,96.82,106.919998,45133700,106.919998
1/4/16,101.949997,112.839996,89.370003,112.209999,44270300,112.209999
12/1/15,104.830002,107.919998,101.459999,104.660004,20686100,104.660004
11/2/15,101.720001,110.650002,100.470001,104.239998,28342700,104.239998
10/1/15,90.050003,105.120003,88.360001,101.970001,27517800,101.970001
9/1/15,86.849998,96.489998,85.720001,89.900002,31979400,89.900002
8/3/15,93.529999,98.739998,72,89.43,35368300,89.43
7/1/15,86.769997,99.239998,85.230003,94.010002,38058600,94.010002
6/1/15,79.300003,89.400002,78.660004,85.769997,25508600,85.769997
5/1/15,79.239998,81.849998,76.790001,79.190002,21900200,79.190002
4/1/15,82.5,85.589996,78.32,78.769997,27189700,78.769997
3/2/15,79,86.07,77.260002,82.220001,27049200,82.220001
2/2/15,76.110001,81.370003,73.449997,78.970001,26614000,78.970001
1/2/15,78.580002,79.25,73.540001,75.910004,29443000,75.910004
12/1/14,77.260002,82.169998,74.400002,78.019997,25210100,78.019997
11/3/14,75.470001,78.269997,72.510002,77.699997,26681700,77.699997
10/1/14,78.779999,81.160004,70.32,74.989998,48924500,74.989998
9/2/14,75.010002,79.709999,73.07,79.040001,36045800,79.040001
8/1/14,72.220001,75.989998,71.550003,74.82,29381100,74.82
7/1/14,67.580002,76.739998,62.209999,72.650002,48745800,72.650002
6/2/14,63.23,68,61.790001,67.290001,42405300,67.290001
5/1/14,60.43,64.300003,56.259998,63.299999,55495600,63.299999
4/1/14,60.459999,63.91,54.66,59.779999,93367300,59.779999
3/3/14,66.959999,72.589996,57.98,60.240002,62307100,60.240002
2/3/14,63.029999,71.440002,60.700001,68.459999,61976700,68.459999
1/2/14,54.830002,63.369999,51.849998,62.57,65833700,62.57
12/2/13,46.900002,58.580002,46.259998,54.650002,74314700,54.650002
11/1/13,50.849998,52.09,43.549999,47.009998,69013200,47.009998
10/1/13,49.970001,54.830002,45.259998,50.209999,99193200,50.209999
9/3/13,41.84,51.599998,41.439999,50.23,84158900,50.23
8/1/13,37.299999,42.259998,36.02,41.290001,64214900,41.290001
7/1/13,24.969999,38.310001,24.15,36.799999,72402000,36.799999
6/3/13,24.27,25.190001,22.67,24.879999,44255500,24.879999
5/1/13,27.85,29.07,23.26,24.35,46273600,24.35
4/1/13,25.629999,28.1,25.15,27.77,35216100,27.77
3/1/13,27.049999,28.68,24.719999,25.58,37788300,25.58
2/1/13,31.01,31.02,26.34,27.25,54771900,27.25
1/2/13,27.440001,32.509998,27.42,30.98,88885500,30.98
12/3/12,28,28.879999,25.15,26.620001,62610300,26.620001
11/1/12,21.08,28,18.870001,28,78787600,28
10/1/12,22.08,24.25,18.799999,21.110001,57157900,21.110001
9/4/12,18.08,23.370001,17.549999,21.66,59164700,21.66
8/1/12,21.5,22.450001,18.030001,18.059999,52639500,18.059999
7/2/12,31.25,32.880001,21.610001,21.709999,27446100,21.709999
6/1/12,28.889999,33.450001,25.52,31.1,32735100,31.1
5/18/12,42.049999,45,26.83,29.6,151461300,29.6
