2009-01-06,21,24.34,20.860001,23.77,67163500,19.94236
2009-01-05,20.190001,20.940001,19.01,20.889999,57362800,17.526121
2009-01-04,18.23,21.200001,18.18,20.26,78563800,16.890303
2009-02-03,15.96,18.879999,14.87,18.370001,78098900,15.314652
2009-02-02,17.030001,19.93,16.1,16.15,81560000,13.463888
2009-02-01,19.530001,21,16.75,17.1,81320700,14.158801
2008-01-12,19.879999,21.25,18.469999,19.440001,72425500,16.096321
2008-03-11,22.48,23.66,17.5,20.219999,95976900,16.742161
2008-01-10,26.379999,27.469999,20.65,22.33,136418800,18.364832
2008-02-09,27.67,27.76,23.5,26.690001,96891900,21.950621
2008-01-08,25.92,28.5,25.07,27.290001,59889700,22.444078
2008-01-07,27.27,27.91,24.870001,25.719999,77180100,21.068832
2008-02-06,28.24,29.57,27.110001,27.51,77060400,22.535131
2008-01-05,28.5,30.530001,27.950001,28.32,69931800,23.198652
2008-01-04,28.83,32.099998,27.93,28.52,69066000,23.276796
2008-03-03,27.24,29.59,26.870001,28.379999,74958500,23.162533
2008-01-02,31.059999,33.25,27.02,27.200001,122099600,22.199469
2008-02-01,35.790001,35.959999,31.040001,32.599998,97806800,26.503731
2007-03-12,33.5,36.720001,32.630001,35.599998,55002300,28.942726
2007-01-11,36.529999,37.5,32.68,33.599998,90565400,27.316729
2007-01-10,29.459999,37,29.290001,36.810001,85117900,29.827837
2007-04-09,28.5,29.85,28.27,29.459999,61223000,23.871992
2007-01-08,28.950001,30.1,27.51,28.73,55264800,23.28046
2007-02-07,29.67,31.84,28.950001,28.99,64862000,23.409092
2007-01-06,30.790001,30.9,29.040001,29.469999,59647900,23.796686
2007-01-05,29.940001,31.16,29.9,30.690001,64202000,24.781822
2007-02-04,27.889999,30.74,27.559999,29.940001,51337600,24.098143
2007-01-03,27.82,28.549999,26.6,27.870001,59843900,22.432039
2007-01-02,30.84,30.940001,27.790001,28.17,72483300,22.673502
2007-03-01,29.91,31.48,29.4,30.860001,69924300,24.752804
2006-01-12,29.23,30.26,28.799999,29.860001,58945000,23.950705
2006-01-11,28.780001,30,28.58,29.360001,61544700,23.549654
2006-02-10,27.32,28.85,27.15,28.709999,61492200,22.949827
2006-01-09,25.889999,27.52,25.389999,27.35,56588300,21.86269
2006-01-08,24.02,26.25,23.85,25.700001,50459500,20.543734
2006-03-07,23.530001,24.6,22.23,24.059999,68627600,19.162207
2006-01-06,22.74,23.65,21.459999,23.299999,92940200,18.556917
2006-01-05,24.32,25,22.450001,22.65,110427000,18.039234
2006-03-04,27.67,27.940001,24,24.15,107219900,19.159176
2006-01-03,26.98,28.219999,26.620001,27.209999,65223100,21.586798
2006-01-02,27.959999,28.07,26.34,26.870001,58565000,21.317062
2006-03-01,26.25,28.379999,26.1,28.15,74173200,22.257118
2005-01-12,27.73,28.1,26.1,26.15,62892300,20.675795
2005-01-11,25.610001,28.25,25.610001,27.68,71469100,21.885508
2005-03-10,25.709999,25.799999,24.25,25.700001,72132400,20.260607
2005-01-09,27.379999,27.389999,25.120001,25.73,66976400,20.284256
2005-01-08,25.809999,27.940001,25.76,27.379999,65529900,21.585033
2005-01-07,24.85,26.48,24.5,25.610001,69046600,20.129944
2005-01-06,25.73,26,24.82,24.84,62956700,19.524708
2005-02-05,25.23,26.09,24.639999,25.799999,62699700,20.279285
2005-01-04,24.24,25.450001,23.940001,25.299999,77090200,19.823395
